,bURL,bRating,bReview,bReviewCategory,VASentiment,PreprocessedReviews,IsEnglish
275,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"Entertaining, simple fun. Proper page turner that is not trying to win an prestigious literary award, but just entertain and hook you into the story.",Positive,Positive,entertaining simple fun proper page turner trying win prestigious literary award entertain hook story,True
276,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,I knew it was him ,Neutral,Neutral,knew,True
278,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"Four months after reading The Da Vinci Code, I got round to reading its prequel, Angels and Demons. One thing that I found amazing was that the whole book all occurred within twenty-four hours. The main character, Langdon, returns with his amazing ability to solve puzzles that have been hidden for years extremely quickly.
Once again Brown has shown an incredible amount of knowledge and detail in the description of all the locations and sculptures.
I immediately took a liking to Vittora’s character as a strong, independent individual. She is portrayed as very clever and fit.
The story was really interesting and I was amazed by the ambigrams used throughout the book. I got hooked on the story and read over 200 pages in one evening, finishing the book by reading the aftermath the following morning. This is the first book in quite a while that has excited me so much that I have stayed up late to read more.
With many fully developed characters Brown does an amazing job of populating this story. You feel like you get to know a majority of the characters fairly well, aided by many flash backs to their past. Most of the supporting characters were fully fleshed out and not just added in to help the story along; they all had their own emotions and reasons for being there. At the same time Brown does a really good job of leading you to think a character is acting in a certain way, just to turn it all around and show that they are actually on the opposite side than you thought. In this way I was not surprised when
Spoiler
Kohler, an unusual but good guy, turned out to be working for the Illuminati; in fact I guessed this before it was revealed. I was however very surprised when in a final twist the conclusion revealed that Kohler had indeed been on the good side from the start and he revealed Camerlengo Carlo Ventresca as the real enemy. I was surprised by this final twist as Ventresca had been portrayed throughout the story as a lovely man, who was strong and smart. However, he went mad with a form of grief when he found out the Pope’s secret.
This book had me hooked right from the start and was just as good as The Da Vinci Code (as prequels have a tendency to be unable to match the wonder of the original book). It gave me another opportunity to admire Brown’s writing and has made me intrigued to read some more of his work. A brilliant story, this book receives five stars.",Neutral,Positive,four months reading da vinci code got round reading prequel angels demons one thing found amazing whole book occurred within hours main character langdon returns amazing ability solve puzzles hidden years extremely quickly brown shown incredible amount knowledge detail description locations sculptures immediately took liking vittora character strong independent individual portrayed clever fit story really interesting amazed ambigrams used throughout book got hooked story read pages one evening finishing book reading aftermath following morning first book quite excited much stayed late read many fully developed characters brown amazing job populating story feel like get know majority characters fairly well aided many flash backs past supporting characters fully fleshed added help story along emotions reasons time brown really good job leading think character acting certain way turn around show actually opposite side thought way surprised spoiler kohler unusual good guy turned working illuminati fact guessed revealed however surprised final twist conclusion revealed kohler indeed good side start revealed camerlengo carlo ventresca real enemy surprised final twist ventresca portrayed throughout story lovely man strong smart however went mad form grief found pope secret book hooked right start good da vinci code prequels tendency unable match wonder original book gave another opportunity admire brown writing made intrigued read work brilliant story book receives five stars,True
279,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Well I read this book again because the movie will be out here pretty soon. Like to have a fresh memory to compare the movie and book. I do like this book better then the DaVinci Code. The ending is a little unbelieable but still entertaining.,Positive,Positive,well read book movie pretty soon like fresh memory compare movie book like book better davinci code ending little unbelieable still entertaining,True
280,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.5,"I don't know why it has taken me 20 years to read this book, but I am glad I did. From the very first it had my attention. Quick short chapters made it easy to read and easy to read ""just a little bit more""
I don't think the character of Robert Langdon is fleshed out well, but he was likeable none the less. He may become more fleshed out in the series, but I have not read those yet. 
I think that there are some thought provoking themes within the book. Can faith in God and science go hand in hand? Or are they complete opposites? I look forward to reading more of the series.",Positive,Positive,know taken years read book glad first attention quick short chapters made easy read easy read little bit think character robert langdon fleshed well likeable none less may become fleshed series read yet think thought provoking themes within book faith god science go hand hand complete opposites look forward reading series,True
281,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.5,pretty much like his others.,Negative,Positive,pretty much like others,True
282,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"Robert Langdon you will always be famous... they say home is where the heart is but God, I love the american or whatever taylor swift said",Neutral,Positive,robert langdon always famous say home heart god love american whatever taylor swift said,True
283,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Enjoyable read, if you like ancient mysteries and secret societies. I love conspiracy theories, so ""Angels and Demons"" appeal to me. I bought this book because the author is well known but I did not expect it to be so good. I thought it would be a lot of hype. No, you can feel a lot of research has been done. Robert Langdon's character is great and you would like to know more about his life, why he is still a bachelor etc, but the best part were about the history of the Illuminati and science. The only thing I left complaining was the end, it seems little dragged on.",Positive,Positive,enjoyable read like ancient mysteries secret societies love conspiracy theories angels demons appeal bought book author well known expect good thought would lot hype feel lot research done robert langdon character great would like know life still bachelor etc best part history illuminati science thing left complaining end seems little dragged,True
284,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"HANDS DOWN THE BEST BOOK IN THE ROBERT LANGDON SERIES! I love the concept of this story, the focus on religion v. science provides a thought-provoking backdrop to another great thriller by Dan Brown. Robert Langon (while admittedly being slightly one dimensional) is such a loveable protagonist, it is always a pleasure to read about him.

And the plot twist at the end was both unexpected and awesome!",Positive,Positive,hands best book robert langdon series love concept story focus religion science provides backdrop another great thriller dan brown robert langon admittedly slightly one dimensional loveable protagonist always pleasure read plot twist end unexpected awesome,True
285,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"Thanks to Arjen for doing this buddyread with me, and for starting this new series together! We both liked this book a lot, and I noticed that we went through pretty fast. I liked that this book was educational and that the setting was at real places around Geneva, Rome and Vatican City.

Full review can be found at BiteIntoBooks

If you love mystery, beautiful churches, loads of puzzles and a bit of Art History, this is a book for you! A lot is happening, the pacing is great and you will not have a dull moment, ever! I definitely recommend reading this book.",Negative,Positive,thanks arjen buddyread starting new series together liked book lot noticed went pretty fast liked book educational setting real places around geneva rome vatican city full review found biteintobooks love mystery beautiful churches loads puzzles bit art history book lot happening pacing great dull moment ever definitely recommend reading book,True
286,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Fully satisfied!

This is exactly what I expect and love when reading a novel. Never ending excitement, unexpected twists, fact based mysteries and no time to relax!

It was a difficult book to put down, in a good way!

I'm ready for the next Dan Brown novels now, hope they will be just as good :)",Positive,Positive,fully satisfied exactly expect love reading novel never ending excitement unexpected twists fact based mysteries time relax difficult book put good way ready next dan brown novels hope good,True
287,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,this book was a mess but I might become a symbologist now,Positive,Negative,book mess might become symbologist,True
288,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Only female character written horribly,Positive,Negative,female character written horribly,True
289,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.25,"“Science and religion are not at odds. Science is simply too young to understand.”

The story takes us through an exhilarating journey filled with frantic hunts through sealed crypts, dangerous mysteries, and the Illuminati lair. Robert Langdon, a Harvard symbology professor, is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. The story takes up from there as Langdon joins forces with the enigmatic scientist Vittoria Vetra and discover unimaginable secrets.
The book was absolutely compelling to read for me. Every time the action picked up, I could feel my heart race, and my eyes, brains, mind... whatever, could not get enough of each line. The whole plot is very engrossing and gives an adrenaline rush throughout. Some may find Dan Brown's writing ""very unrealistic"" or ""unbelievable"" but I say it's all about the imagination. It should be. I suppose for readers who have a very active and wild imagination (like me) it's admittedly easier to find this novel (and his other books) enthralling. For me, his writing is dramatic. I mean dramatic in a good ""historical mystery-scientific facts"" kind of way (if such a thing even exists) and not the ""tragedy-romance-family"" kind of way.
Normally, books with short chapters irritate me because I am a person who craves more descriptive plots. However, Brown's books have to be the only exception for me where my mind crawls back for more. The fast-paced thriller makes it very enjoyable– you can feel the fulfillment through the small yet stimulating chapters. Similar to The Da Vinci Code (another bestseller of Dan Brown), the author bounces from one point of view to another without leaving the reader confused. Since I've been switching between classic - romances, and mystery - thrillers (because, why not?) lately, it's refreshing to read a thriller book with the story shown from different angles after reading a classic with one point of view. It brings me a sense of contentment as I watch the story unfold from all those angles.
If you're a ""no-nonsense"" person who's into serious and current affairs storylines, I'd advise against reading this book (along with Brown's other books) as there is a slight possibility that you may find it absurd halfway. Regardless, all I can say is that this book is an incredible piece of work and it's guaranteed you'll find it so if you're a fan of The Da Vinci Code. If you're searching for something to read that satisfies your imaginative brain, you should definitely check this book out. It's fun to imagine the whole plot in your head while reading it–only if you haven't watched the movie yet. Else you'd probably imagine the actors and actions from the movie.",Positive,Positive,science religion odds science simply young story takes us exhilarating journey filled frantic hunts sealed crypts dangerous mysteries illuminati lair robert langdon harvard symbology professor summoned swiss research facility analyze cryptic symbol seared chest murdered physicist story takes langdon joins forces enigmatic scientist vittoria vetra discover unimaginable secrets book absolutely compelling read every time action picked could feel heart race eyes brains mind whatever could get enough line whole plot engrossing gives adrenaline rush throughout may find dan brown writing unrealistic unbelievable say imagination suppose readers active wild imagination like admittedly easier find novel books enthralling writing dramatic mean dramatic good historical facts kind way thing even exists kind way normally books short chapters irritate person craves descriptive plots however brown books exception mind crawls back thriller makes feel fulfillment small yet stimulating chapters similar da vinci code another bestseller dan brown author bounces one point view another without leaving reader confused since switching classic romances mystery thrillers lately refreshing read thriller book story shown different angles reading classic one point view brings sense contentment watch story unfold angles person serious current affairs storylines advise reading book along brown books slight possibility may find absurd halfway regardless say book incredible piece work guaranteed find fan da vinci code searching something read satisfies imaginative brain definitely check book fun imagine whole plot head reading watched movie yet else probably imagine actors actions movie,True
292,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"Really well written, didn't bore me at all!
This one, I think, isn't so much better than any of the other ones, but I think that they each stand out in their different ways.",Neutral,Positive,really well written bore one think much better ones think stand different ways,True
293,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,I read this book few years ago. Really liked it. Now I am planing to read it in English ( first time read it in Lithuanian).,Positive,Positive,read book years ago really liked planing read english first time read lithuanian,True
295,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,AS usual it took me a while to get into but then I was completely hooked and finished 700+ pages in one setting.,Positive,Neutral,usual took get completely hooked finished pages one setting,True
296,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,This is one of those easy to read thrillers. I read it for book group and it promoted some good discussion. I've read several of his b/c my mom really likes him. I'm not so impressed- but he's ok.,Positive,Positive,one easy read thrillers read book group promoted good discussion read several mom really likes ok,True
297,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,"This book isn't one that really stuck in my head, except for remembering how much I disliked how the characters were written. They were all just a bit blah. I didn't hate anybody, I didn't root for anybody. I was not compelled in anyway to find out more about them and they had no compelling reasons for their actions.",Positive,Negative,book one really stuck head except remembering much disliked characters written bit blah hate anybody root anybody compelled anyway find compelling reasons actions,True
298,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.25,"Wanted to like this book, but Brown ruins it early with ham-handed use of foreshadowing. Look for a falling fat lady and you'll know.",Neutral,Negative,wanted like book brown ruins early use foreshadowing look falling fat lady know,True
299,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"a slow ass start but the last 37 chapters especially were full of crazy plot twists and things

also feel like i have a lot to think about and i feel like i need to grab the nearest priest and ask them questions .. will be doing that",Neutral,Positive,slow ass start last chapters especially full crazy plot twists things also feel like lot think feel like need grab nearest priest ask questions,True
300,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.25,"My boyfriend wanted to read this book together since I didn't give any other Dan Brown book a chance. After the first chapter I told him how the book would roll out...low and behold, that's exactly what happened. Two thumbs way down.",Positive,Positive,boyfriend wanted read book together since give dan brown book chance first chapter told book would roll low behold exactly happened two thumbs way,True
301,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,3.5 stars I didn't like Langdon as a character very much. But the story kept me turning the pages.,Positive,Negative,stars like langdon character much story kept turning pages,True
302,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,This book started at a sprint and continued to run through the whole story. There are so many twists and turns that the end is impossible to guess. I also love the historical fictional pieces within this.,Positive,Positive,book started sprint continued run whole story many twists turns end impossible guess also love historical fictional pieces within,True
304,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"In a shocking turn of events, I actually liked the movie better!! However, the book is very enjoyable. If I'd read it first, I think it would have been pretty awesome.",Neutral,Positive,shocking turn events actually liked movie better however book enjoyable read first think would pretty awesome,True
305,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"I've read the other Robert Langdon books and enjoyed some more than others. I had seen the movie Angels & Demons several times, so when I began reading the book I wasn't sure if I had already read it or not. But, there are details in the book that are not revealed in the movie so I continued reading. I did enjoy this one; I found the history, art, architecture, setting, & church history completely fascinating. I had trouble grasping the concept of antimatter, but I just went along with it and accepted it. I hope Dan Brown continues his Langdon series, but gets back to writing like he did in these first couple books.",Neutral,Positive,read robert langdon books enjoyed others seen movie angels demons several times began reading book sure already read details book revealed movie continued reading enjoy one found history art architecture setting church history completely fascinating trouble grasping concept antimatter went along accepted hope dan brown continues langdon series gets back writing like first couple books,True
306,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"If I hadn't have been reading this for a class I probably would have stopped at about page 500. There were way too many plot twists, I felt exhausted just reading it. I'm also a bit unsettled by the Langdon/Vittoria relationship and I'm not sure why.",Positive,Negative,reading class probably would stopped page way many plot twists felt exhausted reading also bit unsettled relationship sure,True
308,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,The most boring long winded Dan brown book I've read. Just slow paced and didn't live up to expectations.,Positive,Negative,boring long winded dan brown book read slow paced live expectations,True
309,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,This is a great book. I am ready to see the movie now!,Negative,Positive,great book ready see movie,True
310,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Whenever I talk to someone who’ve read this book, almost all if them say “I read it in one sitting” and “I couldn’t let it go”. Damn sis, I get it now. If some one had told me that the entire book except the last three pages will play out in one day, I would’ve never picked it up, thinking it’s going to be too detailed and maybe not my cup of tea? And honestly I don’t read much of this thriller/detective thing. But since soo many have read this series and it has gotten so much attention I felt like I needed to be in-the-know of what’s up. And yeah, I pretty much read it in one go (much thanks to the short chapters which made you feel like you never got enough) as my predecessors.

This book was of course, extremely clever and smart. I must say I suspected the clam from the moment they suspected the pope was poisoned, but only because he said “no one knew he took that kind of medicine”. That put him as a suspect. However I only thought him as an infiltrated illuminatic (illuminati + lunatic), so the whole illuminati deception flew over my head until the helicopter incident. I also appreciate the clever and feisty Vittoria, cheers to you gurl!

I’ve spent too much of today reading, thinking, listening and now writing about this book and this story set. Might revisit the review later when I have cleared my mind.",Positive,Positive,whenever talk someone read book almost say read one sitting let go damn sis get one told entire book except last three pages play one day would never picked thinking going detailed maybe cup tea honestly read much thing since soo many read series gotten much attention felt like needed yeah pretty much read one go much thanks short chapters made feel like never got enough predecessors book course extremely clever smart must say suspected clam moment suspected pope poisoned said one knew took kind medicine put suspect however thought infiltrated illuminatic illuminati lunatic whole illuminati deception flew head helicopter incident also appreciate clever feisty vittoria cheers gurl spent much today reading thinking listening writing book story set might revisit review later cleared mind,True
311,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,My favourite in the series about Robert Langdon and of Dan Brown's works.,Neutral,Neutral,favourite series robert langdon dan brown works,True
312,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,1.0,"I read The DaVinci Code before reading Angels and Demons— I prefer that over this one. It was a very good book, but the plot armor and bizarre last couple pages kind of left a bad taste in my mouth. Nothing bad, just terrible and cheesy writing.",Negative,Positive,read davinci code reading angels prefer one good book plot armor bizarre last couple pages kind left bad taste mouth nothing bad terrible cheesy writing,True
314,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"I admit that this book is really easy to read and I really really wanted to enjoy and like this book, but some parts of the book just do not make any sense or are physically impossible. The fact that they can chill (drink tea and eat scones), have a long conversation about theories in a long period of time but they are unable to do the important stuff in the same amount of time. Another thing that I do not like about this book is it is being told in soooo many different point of view and there's no telling who we are going to read from in the next paragraph! Due to these, the books become very draggy.

The beginning of the book is very very good, the premise and mystery is very intriguing, this could have been a fantastic book. I wish I could enjoy it more.",Positive,Positive,admit book really easy read really really wanted enjoy like book parts book make sense physically impossible fact chill drink tea eat scones long conversation theories long period time unable important stuff amount time another thing like book told soooo many different point view telling going read next paragraph due books become draggy beginning book good premise mystery intriguing could fantastic book wish could enjoy,True
316,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.75,I read this but I wish I hadn't. You'd be better of rereading something good. Or maybe watching tv for an hour. It's probably more rewarding than this.,Positive,Positive,read wish better rereading something good maybe watching tv hour probably rewarding,True
317,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.5,"Another masterpiece from Dan Brown.

At first, I was hesitant on picking up this book (already read The Da Vinci Code), but I did anyway.

I was really hooked to this. He gave a good storyline on the battle between science and religion, while being a master at portraying symbols and architecture. Makes me want to go to Vatican City and see everything for myself.

I never expected the twist at the end, even though all arrows were pointing towards a particular direction.

My third Dan Brown novel and they've all been great.",Positive,Positive,another masterpiece dan brown first hesitant picking book already read da vinci code anyway really hooked gave good storyline battle science religion master portraying symbols architecture makes want go vatican city see everything never expected twist end even though arrows pointing towards particular direction third dan brown novel great,True
319,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,2.0,"I still can't decide what this man's personal belief system is, but after this work, I think I can say this: the idea of God, even if there is no reality, is not a bad thing.

This book sets scientific progress and religious faith/dogma in opposition, as they have been since Copernicus and Galileo dared to describe a galactic view different from that suggested by Catholic dogma. Science is the ultimate god because it is proven, say science's priests.

The counter argument, and it is legitimate, is that science runs so fast to discovery that it spends little time pondering morality (the Jurassic Park concept of ""can we"" vs ""should we""). Through a religious authority, the author reminds us that science promises answers and solutions, but instead always discovers only new questions; that there is no place for contemplation because scientific discovery is often about patents, applications, and profits (my words, not Brown's).

Members of my church that I have spoken to that have read this and The Da Vinci Code like Angels and Demons better, likely because of the sacred feminine concept. We aren't sure exactly what Brown's point is, and where our own doctrine fits into the picture that he has painted of traditional Catholic dogma.",Negative,Positive,still ca decide man personal belief system work think say idea god even reality bad thing book sets scientific progress religious opposition since copernicus galileo dared describe galactic view different suggested catholic dogma science ultimate god proven say science priests counter argument legitimate science runs fast discovery spends little time pondering morality jurassic park concept vs religious authority author reminds us science promises answers solutions instead always discovers new questions place contemplation scientific discovery often patents applications profits words brown members church spoken read da vinci code like angels demons better likely sacred feminine concept sure exactly brown point doctrine fits picture painted traditional catholic dogma,True
321,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,This book quickly pulled me from the first page but the book felt too long. The best parts for me was connecting to the places I had visited on my trip to Rome last year. Overall I think it was a good book with some flaws and I plan to read the Da Vinci Code.,Neutral,Positive,book quickly pulled first page book felt long best parts connecting places visited trip rome last year overall think good book flaws plan read da vinci code,True
322,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"It took me absolutely forever to get through this book, largely because I've been so very busy. It was very interesting though. The writing style was compelling and the story was intriguing... I don't know anything about Catholicism so I found myself looking lots of things up on Wikipedia as I read, which detracted from the reading experience a little. I was also uncomfortable with the sexism displayed toward Vittoria (and other women, mainly by the Hassassin) but overall, it was an enjoyable read.",Neutral,Positive,took absolutely forever get book largely busy interesting though writing style compelling story intriguing know anything catholicism found looking lots things wikipedia read detracted reading experience little also uncomfortable sexism displayed toward vittoria women mainly hassassin overall enjoyable read,True
323,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"The thing I love about Dan Brown's books is that he makes it so easy to slip into a world of chaos and disorder. Not only easy, but comfortable. I find myself eager to join the characters for a fast paced journey - making many startling discoveries - before being hit with a surprising didn't-quite-see-that-comming ending. The only trouble is, he did make me say 'Really?!' Quite a few times, with some questionable plot points along the way. Now what follows is just my uneducated and unresearched opinion, so I could be wrong. But really?!?!:
- all this happened in 24 hours... Really? Good as they were they managed to research and crack codes in virtually no time at all.
- that flight over from USA to Swizterland in an hour... Really? (Coz I'm fairly sure the flight into Rome was nearly the same length, in the same plane).
- this book was written at the turn of the millennium, and if I'm reading correctly the nun and priest used artificial semination in the 1960s... Really? Were they even doing that then?
- the military took on a 16 year old for two years military service and trained him as a helicopter pilot... Really? Seams an unlikely waste of resources to me.
- Robert Langdon survived that helicopter fall and was able to get up and about nearly minutes after... Really? He was miles up in the air, with a scrap of fabric to break his fall and survived and antimatter explosion. Pushing the bounds of possibility somewhat in my humble opinion.

Then you have the very random and seemingly pointless references to a deceased wife? What on earth was that in aid of?

Also, all the way through I had a strong sense of déjà vu. I know I've not read the book previously or seen the film. But I have read a The Da Vinci Code (5 and a half years ago). My only explanation for my have-I-read-this-before? Feeling must be that this book quite clearly sets a formula/format for all subsequent books in the series. I'm not put off picking them up because there is more than enough mystery and intregue to satisfy me. And they are page turners. Having previously LOVED The Da Vinci Code, I'm off to reacquaint myself with it...",Positive,Positive,thing love dan brown books makes easy slip world chaos disorder easy comfortable find eager join characters fast paced journey making many startling discoveries hit surprising ending trouble make say quite times questionable plot points along way follows uneducated unresearched opinion could wrong really happened hours really good managed research crack codes virtually time flight usa swizterland hour really coz fairly sure flight rome nearly length plane book written turn millennium reading correctly nun priest used artificial semination really even military took year old two years military service trained helicopter pilot really seams unlikely waste resources robert langdon survived helicopter fall able get nearly minutes really miles air scrap fabric break fall survived antimatter explosion pushing bounds possibility somewhat humble opinion random seemingly pointless references deceased wife earth aid also way strong sense déjà vu know read book previously seen film read da vinci code half years ago explanation feeling must book quite clearly sets subsequent books series put picking enough mystery intregue satisfy page turners previously loved da vinci code reacquaint,True
324,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,Great book for the time it was written. Langdon is a well-rounded main character that pleases a broad audience. I can see why this is such a popular work.,Neutral,Positive,great book time written langdon main character pleases broad audience see popular work,True
326,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Holy plot twist at the end. I thoroughly enjoyed the first book in this series.,Positive,Positive,holy plot twist end thoroughly enjoyed first book series,True
327,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Loved it. Just when you think you figured things out, there is a new twist. Definitely enjoyed the ending",Positive,Positive,loved think figured things new twist definitely enjoyed ending,True
328,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"It was ok - hence 2/5 stars.

I read Da Vinci's Code when it came out and I really liked it - I couldn't stop turning the page. But with this book it took 3 months to get through it.

I will say that the ending was a huuuuuuuge disappointment because it veered so far from any plausible fictional reality that I could even accept it. I mean... I rolled my eyes a couple times (esp when the plan was revealed). It felt too preachy in areas and I felt it tried too hard.

I was not a fan of East vs West theme that played second fiddle to the Catholicism runs the world theme. Just, meh. It was annoying to read about this vengeful heathen, savage-like, evil Muslim that was too dumb to realize he was being used. The reiteration of those kinds of things were disgusting and orientalist. If you're looking for a pop-culture reference to how to pass Orientalism this would be an ok book to look at. Though the book focused on the fall of the church, it ingeniously brought the church as the main focus and continuously asserted it as the most important religion on earth. Vittoria was a hollow character to me as well. I felt she was included just so she could be the one female character in a book full of white men. And at that, near the end of the book she was repeatedly reduced down to a sexual symbol. In fact, almost all the characters including Langdon lack depth.

Furthermore, it was like a dummy's guide to reading a thriller. A lot of ""better stay tuned"" ""he would soon find out"" ""if they only knew"" type of sentences riddled throughout. I think the content is suspenseful enough and the overall story intriguing enough that a lay reader would bore through it. I did not have the patience for the mediocre quality of writing and found myself more distracted by the style than the story. I am glad I read it because now I can finally watch the movies.

If you're looking for a decent exciting read that deals with the broad theme of religion/science/power then this might be for you, but if you're sick of reading books that are Euro/Amero-centric or lack diversity in their characters, then just put it down. It's not that good. I really dislike lazy writing.",Positive,Negative,ok hence stars read da vinci code came really liked could stop turning page book took months get say ending huuuuuuuge disappointment veered far plausible fictional reality could even accept mean rolled eyes couple times esp plan revealed felt preachy areas felt tried hard fan east vs west theme played second fiddle catholicism runs world theme meh annoying read vengeful heathen evil muslim dumb realize used reiteration kinds things disgusting orientalist looking reference pass orientalism would ok book look though book focused fall church ingeniously brought church main focus continuously asserted important religion earth vittoria hollow character well felt included could one female character book full white men near end book repeatedly reduced sexual symbol fact almost characters including langdon lack depth furthermore like dummy guide reading thriller lot better stay tuned would soon find knew type sentences riddled throughout think content suspenseful enough overall story intriguing enough lay reader would bore patience mediocre quality writing found distracted style story glad read finally watch movies looking decent exciting read deals broad theme might sick reading books lack diversity characters put good really dislike lazy writing,True
329,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.5,"Amazing! One I've actually read more than once. I'm not a huge fan of books written about religion, but I couldn't get enough of this one.",Neutral,Positive,amazing one actually read huge fan books written religion could get enough one,True
330,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"If possible this book is even worse than the Da Vinci Code. Transparent plot about a boring subject matter. I kept telling myself the villan could not be this obvious, but alas he was. Don't bother.",Positive,Negative,possible book even worse da vinci code transparent plot boring subject matter kept telling villan could obvious alas bother,True
331,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"I enjoyed this book. It was cleverly written and researched. I actually prefer it to the Da Vinci Code (though I also enjoyed that one). 

Obviously a lot of the ""history"" has had a bit of poetic licence taken with it but it is still a believable narrative. I felt so sorry for Kohler though. ",Positive,Positive,enjoyed book cleverly written researched actually prefer da vinci code though also enjoyed one obviously lot history bit poetic licence taken still believable narrative felt sorry kohler though,True
332,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,I liked the descriptions of Rome and all of the art...makes me want to visit! Its a great mystery and I learned facts about the Vatican and how the pope is elected along the way.,Neutral,Positive,liked descriptions rome art makes want visit great mystery learned facts vatican pope elected along way,True
333,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.25,"Bloody hell. If it hadn’t been for the ending this would’ve got 5 stars hands down (I’ll explain later)

The twists and turns throughout this were RIDICULOUS, it was so fast paced I literally raced through it just to keep reading! I LOOOVED the concept of following the clues throughout Rome, it almost felt like one giant escape room book (but a wee bit more sinister with a more problematic ending if you don’t figure it out in time",Positive,Negative,bloody hell ending would got stars hands explain later twists turns throughout ridiculous fast paced literally raced keep reading loooved concept following clues throughout rome almost felt like one giant escape room book wee bit sinister problematic ending figure time,True
